,노선ID,노선명,정류장ID,정류장명,정류장 순서,X좌표,Y좌표,GPS X좌표,GPS Y좌표
197,293000181,12번 (조치원버스터미널~조치원버스터미널),293001066,번암삼거리,9,127.29416,36.58401,127.29416,36.58401
198,293000181,12번 (조치원버스터미널~조치원버스터미널),293001054,번암아파트후문,10,127.29233,36.58772,127.29233,36.58772
199,293000181,12번 (조치원버스터미널~조치원버스터미널),293001046,자이아파트정문,11,127.29073,36.58832,127.29073,36.58832
200,293000181,12번 (조치원버스터미널~조치원버스터미널),293001053,자이아파트,12,127.29192,36.59085,127.29192,36.59085
201,293000181,12번 (조치원버스터미널~조치원버스터미널),293064033,신흥사거리,13,127.29129,36.59447,127.29129,36.59447
202,293000181,12번 (조치원버스터미널~조치원버스터미널),293001045,세종시문화예술회관,14,127.29075,36.59800,127.29075,36.59800
203,293000181,12번 (조치원버스터미널~조치원버스터미널),293001040,신봉초등학교,15,127.29016,36.60169,127.29016,36.60169
204,293000181,12번 (조치원버스터미널~조치원버스터미널),293001051,세종여자고등학교입구,16,127.29142,36.60684,127.29142,36.60684
205,293000181,12번 (조치원버스터미널~조치원버스터미널),293001058,고려대학교,17,127.29344,36.61076,127.29344,36.61076
206,293000181,12번 (조치원버스터미널~조치원버스터미널),293001049,신안1리입구,18,127.29104,36.61372,127.29104,36.61372
207,293000181,12번 (조치원버스터미널~조치원버스터미널),293001033,중앙요양병원,19,127.28953,36.61411,127.28953,36.61411
208,293000181,12번 (조치원버스터미널~조치원버스터미널),293001022,신안리마을회관,20,127.28719,36.61637,127.28719,36.61637
209,293000181,12번 (조치원버스터미널~조치원버스터미널),293001028,구렁말,21,127.28887,36.61737,127.28887,36.61737
210,293000181,12번 (조치원버스터미널~조치원버스터미널),293001068,새주막거리,22,127.29459,36.61236,127.29459,36.61236
211,293000181,12번 (조치원버스터미널~조치원버스터미널),293001080,세종고등학교,23,127.29666,36.61024,127.29666,36.61024
212,293000181,12번 (조치원버스터미널~조치원버스터미널),293001085,조치원여중,24,127.29721,36.60591,127.29721,36.60591
213,293000181,12번 (조치원버스터미널~조치원버스터미널),293064017,조치원역,25,127.29708,36.60133,127.29708,36.60133
214,293000181,12번 (조치원버스터미널~조치원버스터미널),293064019,조치원전통시장북측,26,127.30008,36.60143,127.30008,36.60143
215,293000181,12번 (조치원버스터미널~조치원버스터미널),293064260,조치원버스터미널,27,127.30276,36.60188,127.30276,36.60188
216,293000264,13번 (조치원역~조치원역),293001084,조치원역,1,127.29713,36.60099,127.29713,36.60099
217,293000264,13번 (조치원역~조치원역),293001087,세종우체국,2,127.29789,36.60296,127.29789,36.60296
218,293000264,13번 (조치원역~조치원역),293001086,조치원여중,3,127.29741,36.60578,127.29741,36.60578
219,293000264,13번 (조치원역~조치원역),293001082,세종고등학교,4,127.29680,36.61017,127.29680,36.61017
220,293000264,13번 (조치원역~조치원역),293001067,새주막거리,5,127.29455,36.61256,127.29455,36.61256
221,293000264,13번 (조치원역~조치원역),293001055,고려대학교,6,127.29309,36.61084,127.29309,36.61084
222,293000264,13번 (조치원역~조치원역),293001041,세종여자고등학교입구,7,127.29126,36.60701,127.29126,36.60701
223,293000264,13번 (조치원역~조치원역),293001024,세종여자고등학교,8,127.28837,36.60653,127.28837,36.60653
224,293000264,13번 (조치원역~조치원역),293001018,서창리,9,127.28432,36.60526,127.28432,36.60526
225,293000264,13번 (조치원역~조치원역),293001014,봉산리,10,127.28092,36.60621,127.28092,36.60621
226,293000264,13번 (조치원역~조치원역),293001012,봉산1리마을회관,11,127.27798,36.60694,127.27798,36.60694
227,293000264,13번 (조치원역~조치원역),293001009,봉산1리,12,127.27739,36.60484,127.27739,36.60484
228,293000264,13번 (조치원역~조치원역),293001008,방축골(갑부농원),13,127.27606,36.60075,127.27606,36.60075
229,293000264,13번 (조치원역~조치원역),293001019,세종시민체육관,14,127.28477,36.59455,127.28477,36.59455
230,293000264,13번 (조치원역~조치원역),293001037,신흥주공아파트,15,127.28973,36.59510,127.28973,36.59510
231,293000264,13번 (조치원역~조치원역),293001097,죽림리,16,127.29581,36.59665,127.29581,36.59665
232,293000264,13번 (조치원역~조치원역),293001075,조치원역뒤편,17,127.29509,36.60061,127.29509,36.60061
233,293000264,13번 (조치원역~조치원역),293001064,세종세무서,18,127.29412,36.60607,127.29412,36.60607
234,293000264,13번 (조치원역~조치원역),293001058,고려대학교,19,127.29344,36.61076,127.29344,36.61076
235,293000264,13번 (조치원역~조치원역),293001068,새주막거리,20,127.29459,36.61236,127.29459,36.61236
